pos	5pC>T
1	0.194444444444444
2	0.221052631578947
3	0.267326732673267
4	0.266666666666667
5	0.252873563218391
6	0.270588235294118
7	0.209876543209877
8	0.247422680412371
9	0.211764705882353
10	0.174418604651163
11	0.318840579710145
12	0.226666666666667
13	0.314606741573034
14	0.289156626506024
15	0.357142857142857
16	0.337837837837838
17	0.284090909090909
18	0.324324324324324
19	0.275
20	0.195121951219512
21	0.293333333333333
22	0.263736263736264
23	0.264705882352941
24	0.270588235294118
25	0.2875
