fragment_len_dist,k,w,damage_level,tool,RMSE
vin,linear,linear,dhigh,aln,0.12420327338201925
vin,linear,linear,dhigh,aln,0.1306493423747402
vin,linear,linear,dhigh,aln,0.12480438682438415
vin,linear,linear,dhigh,aln,0.13078172030568266
vin,linear,linear,dhigh,bb,0.1235656697889055
vin,linear,linear,dhigh,bb,0.13007389706823397
vin,linear,linear,dhigh,bowtie2,0.12441813835184942
vin,linear,linear,dhigh,bowtie2,0.13092172289364273
vin,linear,linear,dhigh,mem,0.1252243683273592
vin,linear,linear,dhigh,mem,0.1308849387107398
vin,linear,linear,dhigh,shrimp,0.12356688015614535
vin,linear,linear,dhigh,shrimp,0.1300132327048088
vin,linear,linear,dhigh,aln,0.12420240056053596
vin,linear,linear,dhigh,aln,0.13067644060280273
vin,linear,linear,dhigh,aln,0.12484930643669867
vin,linear,linear,dhigh,aln,0.13085651668452655
vin,linear,linear,dhigh,bb,0.12354470137515514
vin,linear,linear,dhigh,bb,0.13008577489824022
vin,linear,linear,dhigh,bowtie2,0.12446560897332265
vin,linear,linear,dhigh,bowtie2,0.1310253324930907
vin,linear,linear,dhigh,mem,0.12521662360108265
vin,linear,linear,dhigh,mem,0.13091919598940935
vin,linear,linear,dhigh,shrimp,0.12353353314003716
vin,linear,linear,dhigh,shrimp,0.13001479550407993
vin,linear,linear,dhigh,aln,0.1240616800200673
vin,linear,linear,dhigh,aln,0.1305896337972129
vin,linear,linear,dhigh,aln,0.12466200014397491
vin,linear,linear,dhigh,aln,0.13071858880533246
vin,linear,linear,dhigh,bb,0.12344823180675715
vin,linear,linear,dhigh,bb,0.13008518659279453
vin,linear,linear,dhigh,bowtie2,0.12422049571786158
vin,linear,linear,dhigh,bowtie2,0.13092316136722335
vin,linear,linear,dhigh,mem,0.12513835595306116
vin,linear,linear,dhigh,mem,0.13090695385643064
vin,linear,linear,dhigh,shrimp,0.12346471099967772
vin,linear,linear,dhigh,shrimp,0.13003931827523568
vin,linear,linear,dhigh,aln,0.12408827287332036
vin,linear,linear,dhigh,aln,0.13067508519422746
vin,linear,linear,dhigh,aln,0.12469205212455321
vin,linear,linear,dhigh,aln,0.13081216200209522
vin,linear,linear,dhigh,bb,0.12346418937882475
vin,linear,linear,dhigh,bb,0.13010820190108616
vin,linear,linear,dhigh,bowtie2,0.12422430992111208
vin,linear,linear,dhigh,bowtie2,0.13101257314275003
vin,linear,linear,dhigh,mem,0.12512969423424167
vin,linear,linear,dhigh,mem,0.13095570180119478
vin,linear,linear,dhigh,shrimp,0.12347712466055208
vin,linear,linear,dhigh,shrimp,0.13007541476630907
vin,linear,linear,dhigh,aln,0.12421823384197747
vin,linear,linear,dhigh,aln,0.13063067110385992
vin,linear,linear,dhigh,aln,0.1248427823199372
vin,linear,linear,dhigh,aln,0.1307629528610793
vin,linear,linear,dhigh,bb,0.12358636053682581
vin,linear,linear,dhigh,bb,0.13013945345497582
vin,linear,linear,dhigh,bowtie2,0.12437874265917569
vin,linear,linear,dhigh,bowtie2,0.13103315397719908
vin,linear,linear,dhigh,mem,0.12530879348384297
vin,linear,linear,dhigh,mem,0.1309303255364537
vin,linear,linear,dhigh,shrimp,0.12359194490095803
vin,linear,linear,dhigh,shrimp,0.13009764601278034
vin,linear,linear,dhigh,aln,0.12416649481737198
vin,linear,linear,dhigh,aln,0.13059239187651803
vin,linear,linear,dhigh,aln,0.1247786659458177
vin,linear,linear,dhigh,aln,0.13071615024901195
vin,linear,linear,dhigh,bb,0.12353154791145794
vin,linear,linear,dhigh,bb,0.1300914977425516
vin,linear,linear,dhigh,bowtie2,0.12431608864868307
vin,linear,linear,dhigh,bowtie2,0.13096895080293963
vin,linear,linear,dhigh,mem,0.125257926834469
vin,linear,linear,dhigh,mem,0.1308865224218362
vin,linear,linear,dhigh,shrimp,0.12354320174692279
vin,linear,linear,dhigh,shrimp,0.13005317044536177
vin,linear,linear,dhigh,aln,0.12429210533480345
vin,linear,linear,dhigh,aln,0.13067512035712803
vin,linear,linear,dhigh,aln,0.12492785227682446
vin,linear,linear,dhigh,aln,0.13082381341483576
vin,linear,linear,dhigh,bb,0.12367210776563291
vin,linear,linear,dhigh,bb,0.130188754547723
vin,linear,linear,dhigh,bowtie2,0.12447477905960552
vin,linear,linear,dhigh,bowtie2,0.13106055155365193
vin,linear,linear,dhigh,mem,0.12538718839538934
vin,linear,linear,dhigh,mem,0.13094018437762667
vin,linear,linear,dhigh,shrimp,0.12367623232865456
vin,linear,linear,dhigh,shrimp,0.13014243428476793
vin,linear,linear,dhigh,aln,0.12424652420914022
vin,linear,linear,dhigh,aln,0.13065485881081404
vin,linear,linear,dhigh,aln,0.12488026443990753
vin,linear,linear,dhigh,aln,0.13080218561158338
vin,linear,linear,dhigh,bb,0.1236274996704352
