# table produced by mapDamage version 2.2.2
# using mapped file alignments/numtS_and_gen_0_n1000_ddhigh_l60_s0.95_safari.bam and H2a2a1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	72	8
+	42	15
+	46	12
+	81	3
+	70	7
+	56	9
+	93	3
+	52	13
+	45	15
+	36	8
+	79	5
+	57	6
+	90	4
+	65	11
+	98	2
+	53	11
+	38	15
+	43	7
+	64	9
+	107	2
+	35	13
+	88	2
+	86	4
+	44	9
+	103	2
+	40	14
+	48	9
+	75	2
+	60	89
+	99	3
+	97	1
+	55	7
+	59	7
+	66	11
+	78	4
+	94	7
+	89	3
+	96	2
+	82	3
+	91	4
+	84	3
+	51	12
+	37	12
+	39	9
+	102	4
+	106	1
+	67	7
+	50	9
+	71	5
+	68	4
+	85	6
+	73	7
+	54	8
+	47	4
+	58	6
+	100	1
+	76	7
+	105	4
+	92	2
+	69	8
+	108	1
+	87	2
+	49	7
+	63	5
+	74	3
+	95	4
+	41	8
+	80	5
+	62	9
+	61	3
+	109	3
+	77	1
+	83	3
+	104	2
+	101	1
-	66	3
-	37	16
-	53	9
-	62	8
-	56	12
-	40	12
-	42	17
-	58	9
-	50	8
-	49	5
-	97	4
-	74	1
-	48	7
-	41	14
-	51	12
-	46	6
-	86	2
-	52	9
-	73	7
-	54	8
-	69	7
-	64	9
-	67	8
-	82	7
-	47	16
-	107	2
-	87	2
-	91	4
-	55	7
-	71	8
-	94	3
-	43	13
-	60	88
-	70	8
-	102	5
-	72	4
-	95	2
-	36	9
-	75	5
-	88	5
-	104	1
-	59	10
-	61	13
-	63	8
-	57	10
-	68	5
-	38	10
-	44	20
-	76	2
-	85	2
-	45	5
-	80	7
-	79	1
-	84	4
-	35	8
-	77	6
-	101	2
-	89	3
-	92	1
-	39	13
-	99	2
-	65	6
-	83	5
-	108	1
-	106	1
-	78	5
-	90	1
-	81	2
-	105	3
-	103	2
