pos	3pG>A
1	0.25
2	0.251063829787234
3	0.292372881355932
4	0.286885245901639
5	0.28448275862069
6	0.275303643724696
7	0.176229508196721
8	0.177966101694915
9	0.247058823529412
10	0.278688524590164
11	0.267241379310345
12	0.285123966942149
13	0.278688524590164
14	0.310810810810811
15	0.259574468085106
16	0.25
17	0.247663551401869
18	0.28695652173913
19	0.221276595744681
20	0.291304347826087
21	0.236453201970443
22	0.209205020920502
23	0.231404958677686
24	0.238738738738739
25	0.237704918032787
