#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Henophidia	no	1	0	0	0	0	0
Hepialoidea	no	1	0	0	0	0	0
Hesperiidae	no	11	0	0	0	0	0
Heterotermes	no	0	0	0	0	0	0
Heterotremata	no	0	0	0	0	0	0
Hippoboscoidea	no	3	0	0	0	0	0
Hirundo	no	0	0	0	0	0	0
Homininae	no	0	0	0	0	0	0
Hominoidea	no	0	0	0	0	0	0
Hydropsychoidea	no	0	0	0	0	0	0
Hymenopodidae	no	1	0	0	0	0	0
Hymenoptera	no	2	0	0	0	0	0
Hynobius	no	0	0	0	0	0	0
Hypsiglena	no	2	0	0	0	0	0
Hystricomorpha	no	1	0	0	0	0	0
Isotomidae	no	0	0	0	0	0	0
Ixodes	no	0	0	0	0	0	0
Junonia	no	2	0	0	0	0	0
Lacertibaenia	no	2	0	0	0	0	0
Lampyridae	yes	2511	0.205417	0.187146	0.224957	0.176797	0.237314	
Lepadoidea	no	0	0	0	0	0	0
Lepilemur	no	0	0	0	0	0	0
Lepus	no	1	0	0	0	0	0
Lethe	no	2	0	0	0	0	0
Limenitidinae	no	2	0	0	0	0	0
Limenitis	no	1	0	0	0	0	0
Lonchura	no	0	0	0	0	0	0
Lorisiformes	no	0	0	0	0	0	0
Lucanidae	no	1	0	0	0	0	0
Luperina	no	0	0	0	0	0	0
Lycaenidae	no	3	0	0	0	0	0
Lycosoidea	yes	505	0.041399	0.0370543	0.0460899	0.0347076	0.0490905	
Macaca	no	0	0	0	0	0	0
Macroglossinae	no	0	0	0	0	0	0
Macrotermes	no	0	0	0	0	0	0
Majoidea	no	0	0	0	0	0	0
Manis	no	0	0	0	0	0	0
Mantidae	no	1	0	0	0	0	0
Martes	no	1	0	0	0	0	0
Megachiroptera	no	2	0	0	0	0	0
Meliphagoidea	no	0	0	0	0	0	0
Merostomata	no	0	0	0	0	0	0
Metatheria	no	0	0	0	0	0	0
Microcebus	no	1	0	0	0	0	0
Microchiroptera	no	13	0	0	0	0	0
Microhylidae	no	0	0	0	0	0	0
Microtus	no	0	0	0	0	0	0
Muridae	no	45	0	0	0	0	0
Mus	yes	208	0.0170317	0.015213	0.0190169	0.0142612	0.0202713	
Muscicapidae	no	1	0	0	0	0	0
Mustela	no	0	0	0	0	0	0
Mustelidae	no	4	0	0	0	0	0
Myomorpha	no	1	0	0	0	0	0
Myotis	yes	344	0.0281629	0.0252194	0.0313847	0.0235888	0.0334112	
Myrmeleontidae	no	2	0	0	0	0	0
Myrmicinae	no	0	0	0	0	0	0
Nasutitermes	no	0	0	0	0	0	0
Nematocera	no	2	0	0	0	0	0
Nemouridae	no	0	0	0	0	0	0
Neobatrachia	no	0	0	0	0	0	0
Neognathae	no	53	0	0	0	0	0
Nesophrosyne	no	0	0	0	0	0	0
Neuropterida	no	6	0	0	0	0	0
Noctuidae	no	23	0	0	0	0	0
Nolidae	no	5	0	0	0	0	0
Notodontidae	no	6	0	0	0	0	0
Notostraca	no	0	0	0	0	0	0
Nymphalinae	no	5	0	0	0	0	0
Obtectomera	no	16	0	0	0	0	0
Ochthebius	no	4	0	0	0	0	0
Ocypodidae	no	0	0	0	0	0	0
Odontoceti	no	2	0	0	0	0	0
Oestroidea	no	16	0	0	0	0	0
Olethreutinae	no	2	0	0	0	0	0
Orbiculariae	no	8	0	0	0	0	0
Orconectes	no	0	0	0	0	0	0
Ornithodoros	no	1	0	0	0	0	0
Otariidae	no	0	0	0	0	0	0
Paguroidea	no	0	0	0	0	0	0
Palaemonoidea	no	0	0	0	0	0	0
Palaeognathae	no	0	0	0	0	0	0
Pamphagidae	no	0	0	0	0	0	0
Panheteroptera	no	0	0	0	0	0	0
Pannota	no	0	0	0	0	0	0
Papilio	no	2	0	0	0	0	0
Papilionidae	no	0	0	0	0	0	0
Papilioninae	no	1	0	0	0	0	0
Papilionoidea	no	17	0	0	0	0	0
Parastacoidea	no	0	0	0	0	0	0
Paridae	no	0	0	0	0	0	0
Parnassiinae	no	2	0	0	0	0	0
Passeriformes	no	0	0	0	0	0	0
Passeroidea	no	0	0	0	0	0	0
Pecora	no	2	0	0	0	0	0
Pelecaniformes	no	1	0	0	0	0	0
Penaeoidea	no	0	0	0	0	0	0
Pentastomida	no	0	0	0	0	0	0
Pentatomomorpha	no	2	0	0	0	0	0
Perissodactyla	no	1	0	0	0	0	0
Perlidae	no	0	0	0	0	0	0
Petroicidae	no	0	0	0	0	0	0
Phlaeothripidae	no	0	0	0	0	0	0
Phocidae	no	5	0	0	0	0	0
Phrynocephalus	no	0	0	0	0	0	0
Phyllostomidae	no	3	0	0	0	0	0
Phymatidae	no	0	0	0	0	0	0
Piciformes	no	0	0	0	0	0	0
Pieridae	no	3	0	0	0	0	0
Pitheciidae	no	0	0	0	0	0	0
Platypezoidea	no	2	0	0	0	0	0
Platyrrhini	no	2	0	0	0	0	0
Plecoptera	no	1	0	0	0	0	0
Pleocyemata	no	0	0	0	0	0	0
Plethodontidae	no	0	0	0	0	0	0
Poduromorpha	no	0	0	0	0	0	0
Prioninae	no	2	0	0	0	0	0
Proboscidea	no	0	0	0	0	0	0
Procellariiformes	no	0	0	0	0	0	0
Proechimys	no	0	0	0	0	0	0
Protobothrops	no	2	0	0	0	0	0
Psittaciformes	no	0	0	0	0	0	0
Psoroptidia	no	0	0	0	0	0	0
Psychodoidea	no	1	0	0	0	0	0
Pteropodidae	no	3	0	0	0	0	0
Pteropodinae	no	0	0	0	0	0	0
Pyralidae	no	7	0	0	0	0	0
Pyrgomorphoidea	no	0	0	0	0	0	0
Rana	no	0	0	0	0	0	0
Ranoidea	no	0	0	0	0	0	0
Rattus	yes	441	0.035995	0.0322396	0.0402432	0.030275	0.0428668	
Reduvioidea	no	1	0	0	0	0	0
