Taxon,SAFARI_reads,vg_giraffe_reads
Calyptratae,4222,3980
Lampyridae,2489,2380
Arctiinae,1331,1237
Ursidae,1173,1113
Colubroidea,855,813
Lycosoidea,502,495
Rattus,426,409
Myotis,326,316
Mus,203,185
Cryptorhynchinae,184,177
Bovidae,140,132
Xerinae,142,143
