k,w,tool,damage_level,read_length,subsampling_rate,mito_correct,mito_incorrect,mito_mapped,mito_unmapped,bacteria_mapped,bacteria_unmapped,numt_mapped,numt_unmapped,precision,sensitivity,specificity,f1,accuracy,TP,FP,TN,FN
15,15,vg vg giraffe,Single-stranded,125,0.75,75023,108,75023,171,1,75413,29,308,0.9996002824670566,0.996294919125654,0.9996039656242162,0.9979448638222873,0.9979543603900618,75023,30,75721,279
15,15,SAFARI,Single-stranded,125,0.75,75036,108,75036,158,1,75413,35,302,0.9995204603580563,0.9964675573025948,0.9995247587490594,0.9979916740925958,0.9980007017404487,75036,36,75715,266
15,15,vg vg giraffe,Single-stranded,125,0.7,70115,101,70115,163,1,70489,27,286,0.9996008154769542,0.9962488810582703,0.999604536530938,0.9979220335605813,0.9979317476732161,70115,28,70775,264
15,15,SAFARI,Single-stranded,125,0.7,70128,101,70128,150,1,70489,32,281,0.9995296532261513,0.9964335952485827,0.9995339180543197,0.9979792229970116,0.9979884121205252,70128,33,70770,251
15,15,vg vg giraffe,Single-stranded,125,0.85,84863,117,84863,189,1,85291,30,351,0.9996348387400759,0.9964071434442109,0.9996381590466075,0.9980183814233549,0.9980274171456668,84863,31,85642,306
15,15,SAFARI,Single-stranded,125,0.85,84877,117,84877,175,1,85291,39,342,0.9995289517999929,0.996571522502319,0.9995331084472354,0.9980480462824689,0.9980566839535946,84877,40,85633,292
15,15,vg vg giraffe,Single-stranded,125,0.8,79882,113,79882,183,1,80299,30,330,0.9996120781349718,0.996308214223353,0.9996156707165882,0.997957411722083,0.9979668983697882,79882,31,80629,296
15,15,SAFARI,Single-stranded,125,0.8,79896,113,79896,169,1,80299,37,323,0.9995246078014361,0.996482825712789,0.99952888668485,0.9980013990206855,0.9980104204230343,79896,38,80622,282
15,15,vg vg giraffe,Single-stranded,125,0.95,94738,129,94738,212,1,95218,35,381,0.9996201489860088,0.9964135087663942,0.9996235687771213,0.9980142531326869,0.9980232180123116,94738,36,95599,341
15,15,SAFARI,Single-stranded,125,0.95,94752,129,94752,198,1,95218,46,370,0.9995042141794744,0.9965607547407945,0.9995085481256862,0.9980303142017506,0.9980389483729564,94752,47,95588,327
15,15,vg vg giraffe,Single-stranded,125,0.9,89776,125,89776,203,1,90238,31,365,0.9996436843042936,0.996359762052739,0.9996469355105644,0.9979990217439637,0.9980081775377755,89776,32,90603,328
15,15,SAFARI,Single-stranded,125,0.9,89790,125,89790,189,1,90238,40,356,0.9995435874030123,0.9965151380626831,0.9995476361229105,0.9980270653291465,0.9980358417386397,89790,41,90594,314
12,7,vg vg giraffe,High,125,0.15,14685,24,14685,239,0,14956,5,59,0.9996596324029953,0.9824056729997324,0.9996671105193076,0.9909575544908563,0.9910571276027763,14685,5,15015,263
12,7,SAFARI,High,125,0.15,14799,24,14799,125,0,14956,6,58,0.9995947315096251,0.9900321113192401,0.9996005326231691,0.9947904413000369,0.9948278163374266,14799,6,15014,149
12,7,vg vg giraffe,High,125,0.1,9836,12,9836,160,0,10014,3,36,0.9996950909645289,0.9828137490007993,0.9997015816174276,0.9911825464805765,0.9912766063506305,9836,3,10050,172
12,7,SAFARI,High,125,0.1,9915,12,9915,81,0,10014,4,35,0.9995967335416877,0.9907074340527577,0.9996021088232369,0.9951322326491694,0.9951647475200638,9915,4,10049,93
12,7,vg vg giraffe,High,125,0.25,24514,37,24514,422,1,24985,10,111,0.9995514780835881,0.9816201497617427,0.9995618751742542,0.9905046668552264,0.9906150159744409,24514,11,25096,459
12,7,SAFARI,High,125,0.25,24720,37,24720,216,1,24985,11,110,0.9995147986414362,0.9898690585832699,0.999522045644641,0.994668544412031,0.9947084664536742,24720,12,25095,253
12,7,vg vg giraffe,High,125,0.2,19534,30,19534,338,0,19910,7,83,0.9996417788240111,0.981509396040599,0.99965,0.9904926095885201,0.990601974838354,19534,7,19993,368
12,7,SAFARI,High,125,0.2,19702,30,19702,170,0,19910,8,82,0.9995941146626078,0.9899507587177168,0.9996,0.9947490659396143,0.9947872287103403,19702,8,19992,200
12,7,vg vg giraffe,High,125,0.35,34331,50,34331,598,2,35008,16,159,0.9994759672770678,0.9814745990451413,0.9994884183600966,0.9903934918070622,0.9905079527963058,34331,18,35167,648
12,7,SAFARI,High,125,0.35,34634,50,34634,295,2,35008,20,155,0.999365189289012,0.990136939306441,0.9993747335512292,0.9947296618079989,0.9947693974117782,34634,22,35163,345
12,7,vg vg giraffe,High,125,0.3,29314,44,29314,500,1,29884,14,141,0.9994885608101197,0.9817804273561525,0.9995006657789614,0.990555358440198,0.9906674680289826,29314,15,30025,544
12,7,SAFARI,High,125,0.3,29564,44,29564,250,1,29884,16,139,0.9994253067847605,0.9901533927255677,0.999434087882823,0.9947677450831945,0.9948078399946576,29564,17,30023,294
12,7,vg vg giraffe,High,125,0.45,44371,62,44371,762,2,45253,27,189,0.9993468468468468,0.9817678946786149,0.9993622308724242,0.9904793794296557,0.9905918425870779,44371,29,45442,824
